name,midBlast_Ctrl_rep1,midBlast_Ctrl_rep2,midBlast_siTfap2c_rep1,midBlast_siTfap2c_rep3,diff,pval,class
Naf1,3.91436399127143,3.70933858809115,3.29424838840918,3.54522022774617,-0.392116981603621,0.136622126307074,none
Naga,3.65873973720456,3.7194193899332,2.6534591207684,2.31909892266202,-1.20280054185367,0.0193770298052365,down
Nagk,3.37210918585043,3.47556273117733,2.30421462418603,2.61807189383627,-0.962692699502733,0.028218357231887,down
Naglu,0.491402718070492,0.384196209594161,0.533414720179126,0.916275460000538,0.287045626257505,0.285578034482941,none
Nagpa,3.76016572347488,3.53409166866899,3.03287222401929,3.00185074529163,-0.629767211416471,0.0312908825558365,down
Nags,0.00862549005818726,0,0.128047115419878,0.241678353879814,0.180549989620753,0.086820512332368,none
Naif1,1.27267089216122,1.19130570039991,1.69255584242146,1.40672180820156,0.317650529030946,0.165988720632371,none
Naip1,0,0,0.0733198512384312,0.430427978010614,0.251873914624523,0.29379053844017,none
Naip2,0,0,0.135125558889856,0.381499866343666,0.258312712616761,0.170930912804173,none
Naip5,0,0,0.225004800410316,0.479686782450211,0.352345791430263,0.109564813518679,none
Naip6,0,0,0.0519117190901805,0.296205562474681,0.174058640782431,0.29021343848019,none
Naip7,0,0,0,0,0,,none
Nalcn,0,0,0.58606863824807,0.870666274984446,0.728367456616258,0.0361132911446964,up
Nampt,3.53494843054034,3.47028486918511,3.00439740759565,3.09669000440339,-0.452072943863205,0.0151818298727405,none
Nanog,6.85278077031421,6.64286827581892,4.01035992763677,4.73731942909013,-2.37398484470312,0.0244688374407979,down
Nanos1,3.40788419862443,3.58451777907937,4.85502325388373,5.16860093323304,1.51561110470649,0.0138060396358468,up
Nanos2,0.202159322504213,0.514181464152742,0.864969066970627,0.573347090299755,0.360987685306713,0.233004059361715,none
Nanos3,0.346378104629496,0.0429710387082396,0.0853707651433759,0.370563034240688,0.0332923280231642,0.887646149985247,none
Nanp,0,0.635756432488107,0.664189974667152,0.552937480230587,0.290685511204815,0.462779136269568,none
Nans,3.12218740908655,3.0281196904902,2.95576173449572,2.78074712402029,-0.206899120530371,0.172712342029675,none
Nap1l1,7.2081425811918,7.20948554127909,7.44025336189516,7.85075731219177,0.436691275808023,0.167197175300827,none
Nap1l2,0.950435608085516,0.748595404116533,1.59391171075196,1.22865729222289,0.561768995386403,0.114703446568482,none
Nap1l3,0.485841781710491,0.62543921807994,1.04852900137924,1.41935856650088,0.678303284044849,0.0757441319041595,none
Nap1l4,5.66848904729755,5.71424197544067,5.49549472472306,5.66956079545902,-0.108837751278073,0.350055215671963,none
Nap1l5,0.278837998377679,0.146472706511987,0.148385270501347,0.52641338774367,0.124743976677676,0.596915747833155,none
Napa,3.72615633441369,3.70611352064805,3.68608269672798,3.23244858593524,-0.25686928619926,0.375297933778516,none
Napb,0.926809039067665,0.903865020315689,1.32468469927681,1.22327441641135,0.358642528152401,0.0203718303003858,none
Napepld,3.26964666846792,3.17094052270234,2.5678637076647,2.3609454446504,-0.755889019427583,0.0222325497487217,down
Napg,4.5937408591423,4.69647325169875,4.22902372770277,4.27201462277064,-0.394587880183826,0.0193378561398949,none
Naprt,0.052113417165444,0.267626014197097,0.332499452878423,0.320000133132308,0.166380077324095,0.263135882503276,none
Napsa,0.109464224091207,0,0.291793110240271,0.238727163249855,0.210528024699459,0.0742890740445069,none
Narf,0.671045961695114,1.06805973309166,1.5062218160435,1.48572589135134,0.626421006304032,0.0876514261469128,none
Narfl,2.75018581741916,2.94837813068584,2.80794436305867,2.89069147460498,3.59447793218948e-05,0.999763314365654,none
Nars,5.47052602626816,5.46761676539128,5.28954126648126,5.56292040259084,-0.0428405612936693,0.783643521973022,none
Nars2,2.8239109165811,3.22939002178415,2.72156859114567,2.75326565301412,-0.289233347102732,0.290883700114181,none
Nasp,7.5033355001191,7.55314904687657,7.10796065801719,7.40933453503032,-0.269594676974079,0.219582089444318,none
Nat1,0.471545678491987,0.882790664273695,0.12472258970476,0.0471171352948544,-0.591248308883034,0.105755828721022,none
Nat10,6.08618773988387,6.10463080737998,5.98507023474461,5.79707973682954,-0.204334287844846,0.162963501141484,none
Nat14,0.416066735417598,0.325489780433806,0.434269515529954,0.410532341604932,0.051622670641741,0.38512708509979,none
Nat2,0.785302543974494,0.740411325496498,0.400259406476341,0.44940915523888,-0.338022653877886,0.0095561296292459,none
Nat3,0,0,0,0.304067581390678,0.152033790695339,0.422649730810374,none
Nat6,1.29617503809221,1.00859958883402,1.57513110289397,1.39263465323596,0.33149556460185,0.190972600318791,none
Nat8,0.236625925493589,0.348670874772009,0.780515671088074,0.650147177024912,0.422683023923694,0.0389494873709906,none
Nat8l,0.136917819974452,0.229270691712181,0.353554367631118,0.464890510968376,0.226128183456431,0.0888765924971714,none
Nat9,0.756781460390559,1.03590744603604,1.15692677784862,1.11062808572839,0.237432978575203,0.235287251715989,none
Natd1,1.59097311610952,1.47071668545363,1.53769992203242,1.50495177729107,-0.00951905111983109,0.892613999534281,none
Nav1,1.80835166574386,1.90481219256452,2.18557896468467,1.74885289390266,0.110634000139475,0.669796370069513,none
Nav2,2.04081722972247,1.79477589259988,2.80956108834088,2.33430903986934,0.654138502943932,0.134405390850948,none
Nav3,0.643411061395751,0.653873256274775,0.734850358195119,0.748070535816105,0.0928182881703494,0.00814724788177901,none
Nbas,2.24011376746037,2.2422821479133,2.43342532311538,1.87171345679283,-0.088628567732731,0.782218673268816,none
Nbea,0.140396699751282,0.0874434198073305,0.414067248216357,0.620057864210555,0.40314249643415,0.0630721526154073,none
Nbeal1,4.69555709945165,4.8474468405189,5.22366457695171,4.96225428904435,0.321457463012755,0.167325484223178,none
Nbeal2,3.56170900477246,3.43004813437781,2.86779393461386,2.518502921796,-0.802730141370208,0.0500368575223233,none
Nbl1,0.457150821009435,0.361667939753635,0.402864997696152,0.581499833372004,0.0827730351525429,0.499630746800853,none
Nbn,2.53462396685375,2.38186686628519,2.16259672558029,2.55094805569924,-0.101473025929709,0.674813573659757,none
Nbr1,3.71320598292408,3.667094034674,3.47094303017362,3.63596571303521,-0.136695637194622,0.251643622460369,none
Ncald,0.130691652944961,0.169837626130677,0.342839985763092,0.601841189150547,0.322075947919,0.1331261024846,none
Ncam1,0,0.0161973874639788,0.26095538625203,0.462046699954193,0.353402349371122,0.0726974724119466,none
Ncam2,0.0093774297467433,0,0.121109643467312,0.150743287795425,0.131237750757997,0.0137347212895718,none
Ncan,0.361507233949049,0.272121406801723,0.817414243835748,0.7618740588097,0.472829830947338,0.012158463636007,none
Ncapd2,4.98819868256287,4.98027106431288,4.72924194743799,4.07801110499645,-0.580608347220659,0.21652950767239,none
Ncapd3,3.58314381309117,3.68364590149635,3.5094290779312,3.24762442709464,-0.254868104780837,0.210745220934678,none
Ncapg,4.53763947085203,4.58061935265079,4.25741240316769,4.41862767440428,-0.221109372965425,0.117734946977862,none
Ncapg2,4.59314461979576,4.79902543757963,3.47199537608669,3.37975013809943,-1.27021227159463,0.00779419354262889,down
