name,8Cell_Ctrl_rep1,8Cell_Ctrl_rep2,8Cell_Ctrl_rep3,8Cell_siTfap2c_rep1,8Cell_siTfap2c_rep2,8Cell_siTfap2c_rep3,diff,pval,class
Serpina3i,0.0899506202570254,0,0,0,0,0,-0.0299835400856751,0.373900966300059,none
Serpina3j,0,0,0,0,0,0,0,,none
Serpina3k,0,0,0,0,0,0,0,,none
Serpina3m,0.193391939112438,0.178345975663298,0,0,0,0,-0.123912638258578,0.116767711524861,none
Serpina3n,0,0,0,0,0,0,0,,none
Serpina4-ps1,0.148412496268503,0,0,0,0,0,-0.049470832089501,0.373900966300059,none
Serpina5,0,0,0,0,0,0,0,,none
Serpina6,0,0,0,0.0481285904109287,0,0.0987111130140832,0.0489465678083373,0.161016546980886,none
Serpina7,0,0.0262610146316828,0,0,0,0,-0.00875367154389428,0.373900966300059,none
Serpina9,0,0,0,0,0.0510250341270872,0.128015030620015,0.0596800215823673,0.183982872644117,none
Serpinb10,0.0861678445825295,0,0,0,0,0,-0.0287226148608432,0.373900966300059,none
Serpinb11,0,0,0,0,0,0,0,,none
Serpinb12,0,0.0919832202026815,0,0,0,0,-0.0306610734008939,0.373900966300059,none
Serpinb13,0,0,0,0,0,0.0395553241706437,0.0131851080568812,0.373900966300059,none
Serpinb1a,0,0.0567129171167443,0.0306720263623658,0.19191614967418,0.115016439202649,0.210468277266613,0.14333864088811,0.0128641008229702,none
Serpinb1b,0,0,0,0,0,0,0,,none
Serpinb1c,0.878051760766875,0.525626047504166,0.509996908087357,0.368198657591193,0.386256053275062,0.297748257394952,-0.287157249365731,0.0801151273498184,none
Serpinb2,0,0,0,0,0,0,0,,none
Serpinb3a,0,0,0,0,0,0,0,,none
Serpinb3b,0,0,0,0,0,0,0,,none
Serpinb3c,0,0.027511016176784,0,0,0,0,-0.00917033872559466,0.373900966300059,none
Serpinb3d,0,0,0,0,0,0.0636444905262356,0.0212148301754119,0.373900966300059,none
Serpinb5,0,0,0,0,0,0,0,,none
Serpinb6a,3.66071393747978,3.50872919618384,3.76129679328962,3.36147527524617,3.21306936715524,3.12337807259629,-0.410939070651846,0.015259701548979,none
Serpinb6b,0,0,0,0,0.0459543401492848,0,0.015318113383095,0.373900966300059,none
Serpinb6c,1.66071204275971,1.49872198586185,1.28024316787037,0.474919730466769,0.204096188468338,0.506833453472596,-1.08460927469474,0.00176197195288408,down
Serpinb6d,0,0,0,0,0,0,0,,none
Serpinb6e,0.0320520481410381,0,0.0228748846366015,0,0,0.0561808827627209,0.000417983328360429,0.985082082386336,none
Serpinb7,0,0.0270635840804169,0,0,0,0,-0.00902119469347229,0.373900966300059,none
Serpinb8,0,0.137558493198038,0,0,0,0,-0.0458528310660127,0.373900966300059,none
Serpinb9,0.0816749706588718,0,0,0.223805647239728,0,0.148926251437192,0.097018976006016,0.244601591417179,none
Serpinb9b,0.465664396092898,0.157104274457564,0.444280929678163,0.113772039334241,0,0,-0.317759186964795,0.0405522051536434,none
Serpinb9c,0,0,0,0,0,0,0,,none
Serpinb9d,0,0,0,0,0,0,0,,none
Serpinb9e,0,0,0,0,0,0,0,,none
Serpinb9f,0,0.0472239605326439,0,0,0,0,-0.015741320177548,0.373900966300059,none
Serpinb9g,0,0,0,0,0,0,0,,none
Serpinc1,1.22785094604019,1.13889887363799,1.22860483114953,1.04953232340097,1.20349070005857,1.17139181215091,-0.0569799384057559,0.362987420315992,none
Serpind1,0.506909744147305,0.235581643194434,0.262900276932959,0.398380650489884,0.297638662006742,0.524091784498259,0.0715731442400628,0.544830128154735,none
Serpine1,0.255835008401675,0.165929647024507,0.589899354466268,0,0.159601493044984,0.414482952249212,-0.145859854866085,0.455364141327122,none
Serpine2,1.7503775177881,1.47273306461727,2.16374880128719,1.63427792055423,1.31788216817161,1.40011770233151,-0.344860530878402,0.195294079370834,none
Serpine3,0.338273905987381,0.232769809569334,0.363422599894592,0.525719839357634,0.470942858626958,0.360059721816536,0.140752034783273,0.0894002014193922,none
Serpinf1,0.101268088036593,0.0733049962505644,0.164086797993207,0.192648755422856,0.224786709160258,0.236123682664506,0.104966421655752,0.0244857622328099,none
Serpinf2,0.736526103573,0.949845938854933,0.911073393496363,0.895411410295044,1.10629007020364,1.09864533868174,0.167633794418709,0.153229983126019,none
Serping1,1.36898423331367,1.18559559764779,1.33373584204304,1.01998344173341,1.3388644980233,0.996776677666036,-0.177563685193916,0.224934884678113,none
Serpinh1,0.178233719368794,0,0,0,0,0,-0.0594112397895979,0.373900966300059,none
Serpini1,0.537182910396389,1.22864402748837,0.707944546527607,1.07083096044749,0.413728784037492,0.491442759474745,-0.16592299348421,0.60220794318928,none
Serpini2,0,0,0,0,0,0,0,,none
Sertad1,3.56236584255836,3.67034206599816,3.71208912761995,4.04066864551168,3.988898277343,4.0799606372347,0.38824350797097,0.00169753658641514,none
Sertad2,2.17760991575236,2.56162087370515,2.62731339698352,3.05108516547244,3.00480398116769,2.91239041190361,0.533911790700901,0.0216609273940849,none
Sertad3,0.375828675369587,0.394080942801092,0.302238262571429,0.570235997306586,0.91744166269138,0.729830565090405,0.381786781448754,0.0214988028851737,none
Sertad4,0.0341425934016102,0,0,0,0.0205470162704924,0.0312311290460127,0.005878517304965,0.708027615985625,none
Sertm1,0.200338286873144,0.120842915563938,0,0.0373917501240044,0.0759301223893022,0.057161052448256,-0.0502327591585064,0.444614685704617,none
Sesn1,2.82372642225453,2.69783440607863,2.90022326713687,3.45941736300411,3.18602030817016,3.04027907955016,0.421310885084798,0.0365248399945978,none
Sesn2,2.66798604445786,2.83545428849522,2.77782522687489,3.4732912920865,3.50609086798145,3.75901199262965,0.819042864289879,0.00134319274172801,up
Sesn3,1.79377603641509,1.82131539632328,1.88612622846489,2.15202494980696,1.98348779933417,1.9393125562524,0.191202548063422,0.053108266740695,none
Sestd1,0.943005436527435,1.19036330254643,0.904346199061361,1.18585675367061,1.19262433896154,0.964792357615888,0.10185283737094,0.432192639218775,none
Set,8.06305745117014,8.09794894731843,8.12257723908525,7.99514527034139,7.99886980043583,7.91987745622884,-0.123230370189255,0.0164475684969178,none
Setbp1,0.0241942532780475,0.0259390643316326,0.00391998825855739,0.0449389849642855,0.0819806145679123,0.0616815454574422,0.0448492797071342,0.0249998910541045,none
Setd1a,4.66399264648295,4.66617287939471,4.65413614160663,4.92353376210265,4.89923979491953,4.87367825296036,0.23738338083275,8.98300742193658e-05,none
