name,8Cell_Ctrl_rep1,8Cell_Ctrl_rep2,8Cell_Ctrl_rep3,8Cell_siRarg_rep1,8Cell_siRarg_rep2,8Cell_siRarg_rep3,diff,pval,class
Tuba3a,0.0765304866977392,0.842994930425057,0.691523172339084,0.84131386295619,0.437012123669294,0.578006544864256,0.0817613140092865,0.771087821736719,none
Tuba3b,1.38071588011258,0.987989798038561,0.835773030718501,0.976087543972769,0.728494319229047,0.591742275055689,-0.302718190204045,0.200102209866892,none
Tuba4a,3.42265703048797,3.74256664138663,3.52914817550644,3.63889120434838,3.65537525771936,3.37866891541341,-0.00714548996662989,0.95877376434214,none
Tuba8,0,0,0,0,0.0485880815201437,0,0.0161960271733812,0.373900966300059,none
Tubal3,0.220027049133762,0.189811075981312,0.108948113495059,0,0.383195891118554,0,-0.0451967824971931,0.749222880742013,none
Tubb1,0.596992377549135,0.430444206439409,0.267792172690248,0.241076709119199,0.87575469864425,0,-0.0594657829717812,0.841044590289176,none
Tubb2a,1.40078398175062,1.27325558598718,1.11511662678313,1.06343867472188,1.06130708070373,1.10708481288569,-0.18577520873654,0.0913507148375438,none
Tubb2a-ps2,0,0,0,0,0,0,0,,none
Tubb2b,0.22877506867837,0.391182076781018,0.297509323508476,0.569477478945874,0.683799074106634,0.434456512019654,0.256755532034766,0.0406149958746537,none
Tubb3,0.918935671624184,1.05965316961588,1.11270409973831,1.53943499251483,0.941270680996877,1.34019092380287,0.243201218778734,0.259195598944485,none
