gene,class
Mylk2,down
Myo1c,down
Myrfl,down
N4bp3,down
Naaa,down
Nacc2,down
Nanog,down
Natd1,down
Ncoa4,down
Ndst1,down
Ndufaf2,down
Nek9,down
Net1,down
Nfatc1,down
Nhlrc1,down
Nicn1,down
Nid1,down
Nkrf,down
Nln,down
Nlrx1,down
Nme4,down
Notch1,down
Npnt,down
Nr4a1,down
Nsun6,down
Oat,down
Obfc1,down
Ocln,down
Osbpl7,down
Otog,down
P2rx7,down
Padi4,down
Pak6,down
Palm3,down
Pard6b,down
Parpbp,down
Pax6,down
Pcnx,down
Pcsk7,down
Pdzd3,down
Pdzd9,down
Pef1,down
Peli2,down
Perp,down
Pgam2,down
Pgap2,down
Picalm,down
Pigz,down
Pik3c2b,down
Pitpnc1,down
Pitx1,down
Pklr,down
Pkmyt1,down
Pkn1,down
Plaur,down
Plcd1,down
Plcg1,down
Plec,down
Plekha2,down
Plekha6,down
Plekha7,down
Plekhg6,down
Plekhh1,down
Plekhh3,down
Plekho2,down
Plod1,down
Plp2,down
Plxnb2,down
Pml,down
Pmvk,down
Pnp,down
Polr2d,down
Ppfibp1,down
Ppm1j,down
Prkaa2,down
Prrg3,down
Psrc1,down
Ptger1,down
Ptges,down
Ptpn22,down
Ptpn6,down
Ptprj,down
Ptrf,down
Pvrl2,down
Pwwp2b,down
Pygl,down
Rab27a,down
Ralgds,down
Rapgefl1,down
Rasgef1a,down
Rassf1,down
Rassf4,down
Rassf7,down
Rcor1,down
Rcor3,down
Relb,down
Rfx7,down
Rfxank,down
Rhobtb2,down
Rimbp2,down
Ripk4,down
Rltpr,down
Rmi2,down
Rnasel,down
Rnd2,down
Rnf139,down
Rph3al,down
Rps15a-ps4,down
Rps6ka4,down
Rpusd1,down
Rragd,down
Rtn4r,down
Rtp3,down
Rundc3a,down
Rwdd4a,down
Ryr1,down
S100a10,down
S100a11,down
Sarm1,down
Sbk1,down
Scamp4,down
Scarb2,down
Scp2,down
Sdc3,down
Sec24b,down
Sema4a,down
Sema4b,down
Sema6b,down
Serpinb6a,down
Serpinb6c,down
Sfrp1,down
Sh3bgrl3,down
Sh3d21,down
Sh3tc1,down
Shbg,down
Shcbp1l,down
Shisa7,down
Shkbp1,down
Shtn1,down
Sipa1,down
Skp2,down
Slc13a2os,down
Slc16a5,down
Slc25a30,down
Slc26a11,down
Slc28a3,down
Slc2a8,down
Slc35f6,down
Slc39a11,down
Slc39a14,down
Slc46a1,down
Slc52a3,down
Slc7a2,down
Smad7,down
Snx10,down
Snx13,down
Snx22,down
Sox6,down
Spaca6,down
Specc1,down
Spi1,down
Spic,down
Spire2,down
Stard10,down
Steap3,down
Strc,down
Strip1,down
Stx1a,down
Stx3,down
Sulf2,down
Syde2,down
Syna,down
Sync,down
Synpo2l,down
Syp,down
Sypl,down
Syt2,down
Tab2,down
Tagln2,down
Tbccd1,down
Tcf15,down
Tdh,down
Tep1,down
Tfap2a,down
Tfcp2l1,down
Tgif1,down
Thsd1,down
Timm21,down
Tjap1,down
Tle3,down
Tmbim1,down
Tmc2,down
Tmco4,down
Tmed10,down
Tmeff1,down
Tmem125,down
Tmem181a,down
Tmem30b,down
Tmem80,down
Tmsb10,down
Tmx4,down
Tnfsf13b,down
Tnks1bp1,down
Tns1,down
Tns3,down
Tppp3,down
Tpst1,down
Trim8,down
Triml2,down
Trip10,down
Troap,down
Trpv5,down
Tspan1,down
Tspan14,down
Tstd1,down
Ttc39b,down
Ttll10,down
Uba7,down
Ubac2,down
Ube2z,down
Uck2,down
Usb1,down
Usp20,down
Usp43,down
Vgf,down
Vgll4,down
Vill,down
Vpreb3,down
Vsig10l,down
Wbscr27,down
Wdr78,down
Whamm,down
Wipi1,down
Wnt10b,down
Xcr1,down
Xpnpep2,down
Zan,down
Zdhhc17,down
Zdhhc21,down
Zdhhc9,down
Zfp174,down
Zfp28,down
Zfp36l2,down
Zfp385a,down
Zfp395,down
Zfp553,down
Zfp583,down
Zfp59,down
Zfp600,down
Zfp612,down
Zfp704,down
Zfp709,down
Zfp78,down
Zfp791,down
Zfp94,down
Zmiz1,down
Zscan10,down
Zscan18,down
