gene,MII,Zygote,l2cell,4cell,8cell,Morula,ICM,TE,e2cell,m2cell,mES,TSC
Psmc5,2.47617617348265,4.73383147811107,1.80692364390743,4.11647746895534,5.06127095231735,6.11973621734872,6.26809687378044,5.39262824823465,6.64908937290477,3.65967487325328,6.12886167157049,5.90470107166408
Psmc6,5.44709277292493,5.74391305035867,2.60313204605179,6.83227820996224,8.07991330916904,8.43584172609464,8.55916122635646,3.21117280400667,4.83940700662519,5.11716336678786,7.16412640191993,7.11412349949639
Psmd1,9.64312560560968,9.53945450302949,2.58682569659485,5.32811973482849,6.89622571221715,7.9071361029341,8.21628982249627,5.65377884520239,6.56277155367318,5.26029763179222,7.68605278570966,7.41682546201917
Psmd10,2.7891815857317,4.13904914965259,0.262875478892472,0,2.57313075950452,4.02600778565843,3.95605593321216,0.625554481062869,6.28949308562166,3.75783379567868,4.16405700593564,3.78813064090289
Psmd11,6.98537707407963,7.90323568785283,6.13487922733778,7.84585155910407,8.25997697092565,8.11942574114132,8.15067826512806,5.29194159607178,7.20476038645893,6.82450170606096,6.65697213355541,6.39068842542176
Psmd12,3.1354767247255,4.84515149742657,4.94789670963446,6.4733265933337,7.6609399820662,7.51028302911622,7.68193775303611,4.39402975025585,5.00015606013826,4.60508489436286,7.04780837061798,7.40529545531337
Psmd13,0.211170921806728,0.165304864672619,2.03868746261096,5.29586570317353,6.51766095876916,7.1017932005053,6.8253765473935,7.26564142281785,0.367277333327357,3.02273563203488,5.88365377193916,4.96735289157776
Psmd14,1.43276332982118,2.02351396091247,5.63061859069128,6.8195272665723,7.28864888610566,7.45241744016961,7.46643776969611,4.26777521211746,3.49444349464498,5.21478065206111,6.29960762800094,6.17210203044233
Psmd2,6.40221655943692,6.15131493410086,4.23540099200042,2.17984452431124,5.15074648310705,6.48240139751189,6.10671501612743,5.52584508807752,6.83164058568353,6.03285003654085,8.46635181270826,7.94507108180509
Psmd3,6.70891339840875,5.17596260036316,7.03324888897163,6.82620366738364,7.39315160439796,7.91756077362465,7.40062322538546,7.05127468219427,3.76697586847031,4.43532894902938,7.29230498820754,7.4501789376012
